ObjectID,GlobalID,Year,Event Name,Classification Status,Rating Status,Event Type,Initial Data Sources,Location Description,Province,Surveys Completed,Damage,Investigation initiated by NTP,Ground survey completed independently by NTP,Event Description,Web Map Link,Event Sub-Type,Damage Summary,Track Length (km),Maximum Path Width (m),Maximum Wind Speed (km/h),Time (Local),Parent Storm Type,EF-scale DI/DOD,Injuries,Concurrent Event,Unique ID,Mean Motion (from),Day,Month,Time (UTC),Local Time Zone,Fatalities,Damage Cost ($K),Event Summary Map Provided?,x,y
11,e4a59205-e75f-4124-8667-f32b99121dd0,2019,Smoky Lake,final_classification_completed,final_rating_completed,tornado_over_land,twitter_eg_ntp_hashtag,Start of damage track,Alberta,satellite,ef0,no,no,"Witnesses captured video of a tornado northwest of Smoky Lake. A limited ground survey was conducted by an NTP team on July 26, 2019 and no damage was discovered. Satellite imagery review of the storm track revealed a weak tornado damage path through mostly cropland, with some visible tree damage. Damage assessed as EF0 with an estimated max. wind speed of 115 km/h, track length of 9.5 km and max. path width of 100 m. Tornado motion from the SW (approx. 220 degrees).",,,,9.5,100,115,1350,Hybrid,C-T/DOD-3 (EXP),,N/A,,220,24,7,1950,MDT,0,,No,-112.7583,54.1261000000001
13,fe714545-a9a4-44e6-885a-c53fd4dba56a,2019,Orleans - Baie Clément,final_classification_completed,final_rating_completed,tornado_over_land,twitter_eg_ntp_hashtag,Start of damage track,Ontario,"satellite,ground,drone",ef1,no,no,"Witnesses captured video of a tornado that started in Orleans ON (east Ottawa), crossed the Ottawa River and dissipated in Baie Clément QC. One minor injury was reported in Orleans. Structural and tree damage was investigated by an NTP ground survey team on June 3-4, 2019. Damage assessed as EF1, with an estimated max. wind speed of 170 km/h, track length of 10.6 km and max. path width of 250 m. Tornado motion from the SW (approx. 230 degrees). Satellite imagery review did not reveal a damage path, although some isolated damage is visible.",https://westernu.maps.arcgis.com/apps/opsdashboard/index.html#/34d9df30978c42c78475eb73285dbdbc,,,10.6,250,170,1744,Supercell,ACT/DOD-3 (LB),1,N/A,,230,2,6,2144,EDT,0,,Yes,-75.5431999999987,45.4668999999992
14,cc484c3a-2b2e-418b-8d31-b214dd5a7a36,2019,Clarence Creek,final_classification_completed,final_rating_completed,tornado_over_land,twitter_eg_ntp_hashtag,Start of damage track,Ontario,"satellite,ground,drone",ef1,no,no,"Witnesses captured video of a tornado in the Clarence Creek area. Structural and tree damage was investigated by an NTP ground survey team on June 3-4, 2019. Damage assessed as EF1, with an estimated max. wind speed of 160 km/h, track length of 6.9 km and max. path width of 250 m. Tornado motion from the W (approx. 260 degrees). Satellite imagery review did not reveal a damage path, although some isolated damage is visible.",https://westernu.maps.arcgis.com/apps/opsdashboard/index.html#/e41f79443c784c9791e4cfd4d72ea696,,,6.9,250,160,1815,Supercell,SBO/DOD-8 (LB+),,N/A,,260,2,6,2215,EDT,0,,Yes,-75.281,45.5187
15,2bd1cc31-2bd0-497a-88f0-2611d4bfb1ef,2019,Bare Island,final_classification_completed,final_rating_completed,downburst,storm_track_of_interest_eg_base,Damage area,Ontario,satellite,ef1,yes,,Satellite imagery review of storm track of interest revealed isolated areas of visible tree damage on islands and along shoreline of Rainy Lake.,,,,,,,1945,,,,N/A,,,17,7,45,CDT,,,No,-93.23999,48.7414200000001
16,0d76edf6-9150-491b-8a46-e54c8e806e4b,2019,Aberfoyle,final_classification_completed,final_rating_completed,tornado_over_land,facebook_eg_instant_weather,Start of damage track,Ontario,"satellite,ground,drone",ef0,yes,yes,"Witness video of a funnel cloud aloft in the vicinity of reported crane and tree damage south of Aberfoyle prompted an NTP ground survey on June 13, 2019. Tornado damage was confirmed and assessed as EF0, with an estimated max. wind speed of 115 km/h, track length of 3.2 km and max. path width of 50 m. Tornado motion from the SW (approx. 235 degrees). Satellite imagery review did not reveal a damage path.",http://westernu.maps.arcgis.com/home/webmap/viewer.html?webmap=477cc01ea65c487794162dcd33b99c77,,,3.2,50,115,1515,Hybrid,C-T/DOD-3 (EXP),0,N/A,,235,13,6,1915,EDT,0,unknown,Yes,-80.1407,43.4539
17,424a70b3-1259-47b7-8a6f-9fb4b45fea58,2019,Saint-Roch-de-l'Achigan,final_classification_completed,final_rating_completed,tornado_over_land,twitter_eg_ntp_hashtag,Start of damage track,Quebec,"satellite,ground",ef1,no,no,"Damage to structures, trailers and trees southwest of Saint-Roch-de-l’Achigan was investigated by an NTP ground survey team on July 13, 2019. Tornado damage was confirmed and assessed as EF1, with an estimated max. wind speed of 135 km/h, track length of 2.72 km and max. path width of 150 m. Tornado motion from the W (approx. 270 degrees). Satellite imagery review did not reveal a damage path, although isolated damage is visible. One injury was reported by local media.",https://westernu.maps.arcgis.com/apps/opsdashboard/index.html#/45675cd8366d4940a6baced023ba990b,,,2.72,150,135,1830,Supercell,SBO/DOD-7 (LB),1,N/A,,270,11,7,2230,EDT,0,,Yes,-73.6645,45.8206000000001
18,6ee848a1-3682-4241-826c-39949a2c747d,2019,L. Erie (Pelee Island),final_classification_completed,final_rating_completed,tornado_over_water,"twitter_eg_ntp_hashtag,facebook_eg_instant_weather",Estimated tornado location,Ontario,,default_ef0,,,Witnesses on Pelee Island captured photos of a tornado over Lake Erie. No damage reported.,,,,,,,1015,,,,N/A,,,7,8,1415,EDT,,,No,-82.6,41.7930000000001
19,7dfa1a36-8c9c-43b0-83b1-b185857df474,2019,L. Erie (Turkey Point),final_classification_completed,final_rating_completed,tornado_over_water,facebook_eg_instant_weather,Estimated tornado location,Ontario,,default_ef0,,,Witnesses in Turkey Point and Fishers Glen captured photos of a tornado over Lake Erie. No damage reported.,,,,,,,1400,,,,N/A,,,6,8,1800,EDT,,,No,-80.16,42.71
20,f9368086-6575-494f-8054-72380a5e01de,2019,Lake of the Woods,final_classification_completed,final_rating_completed,tornado_over_land,"twitter_eg_ntp_hashtag,facebook_eg_instant_weather",Estimated tornado location,Ontario,satellite,ef0,yes,,"Witnesses captured video and photos of a tornado over Lake of the Woods and Longbow Lake. Weak tree and structural damage reported at a property on Longbow Lake assessed as EF0, with an estimated max. wind speed of 95 km/h. Satellite imagery review revealed no visible damage. Information available insufficient to accurately estimate track length, max. path width and tornado motion.",,,,,,95,2000,Supercell,C-T/DOD-3 (LB+),,N/A,,,17,7,100,CDT,0,,No,-94.51,49.6600000000001
21,618a1786-742b-4ac0-8065-ac0b7c02ac30,2019,Sapawe,final_classification_completed,final_rating_completed,tornado_over_land,"twitter_eg_ntp_hashtag,facebook_eg_instant_weather",Start of damage track,Ontario,satellite,ef1,yes,,"Satellite imagery review of a storm track revealed a tornado damage path through forested areas. Damage assessed as EF1, with an estimated max. wind speed of 145 km/h, track length of 1.9 km and max. path width of 350 m. Tornado motion from the NW (approx. 310 degrees).",,,,1.9,350,145,1610,N/A,C-T/DOD-5 (LB),0,N/A,,310,26,7,2110,EST,0,unknown,No,-91.2830999999985,48.7599999999992
22,0a80b511-2061-46e5-88d7-0da450438511,2019,Caledonia,final_classification_completed,final_rating_completed,downburst,"facebook_eg_instant_weather,eccc_eg_forwarded_report,media_article_eg_stratford_beac",Damage area,Ontario,"satellite,ground",ef0,yes,yes,"Damage reported in the Caledonia, Binbrook and Cayuga areas following a storm passing through the aera. Tree damage investigated by NTP survey team on August 8, 2019. A number of trees and large tree branches down were discovered over a large area north of the Grand River, mainly weak species (willow) and/or rotten. Event assessed as EF0 downburst (estimated max. wind speed of 95 km/h). Satellite imagery review did not reveal any visible damage.",,,,,,95,1115,,C-T/DOD-3 (LB+),,N/A,,,6,8,1515,EDT,,,No,-79.99878,43.08885
23,3da1ee68-10e9-4af7-84e1-3b13e04100a8,2019,Rainy Lake,final_classification_completed,final_rating_completed,tornado_over_land,"storm_track_of_interest_eg_base,other",Start of damage track,Ontario,satellite,ef1,yes,,"Satellite imagery review of a storm track revealed a tornado damage path through forested areas. The tornado developed in Minnesota (start point approx. 48.539N, 93.011W) and tracked NE before crossing the international border at Rainy Lake into Ontario. NTP analyzed the Canadian portion of the tornado track.  Damage is assessed as EF1, with an estimated max. wind speed of 170 km/h, a track length of 7.6 km and max. path width of 630 m. Tornado motion was from the W (approx. 270 degrees). ",,,,7.6,630,170,2010,Supercell,C-T/DOD-5 (EXP-),,N/A,,270,17,7,110,CDT,0,,No,-92.8482999999999,48.6019000000001
24,60bb43db-3532-4ee5-860b-0c471a5db4b2,2019,Pickerel Narrows,final_classification_completed,final_rating_completed,downburst,eccc_eg_forwarded_report,Damage area,Ontario,satellite,ef1,yes,,Witness report of tree damage prompted satellite imagery review. Weak tree damage associated with likely downburst visible in Pickerel Narrows area and further east toward Quetico Provincial Park.,,,,,,,1915,,,,N/A,,,18,7,15,EST,,,No,-91.539,48.633
25,7cc61a7d-eb1f-4fed-84e6-4b8604f9d976,2019,Eva Lake,final_classification_completed,final_rating_completed,downburst,"twitter_eg_ntp_hashtag,facebook_eg_instant_weather",Damage area,Ontario,"satellite,ground,drone",ef1,yes,yes,"Tree damage at Quetico College dorms on Eva Lake investigated by NTP survey team on July 28, 2019. Event classified as downburst following analysis of ground survey results and review of high-resolution satellite imagery.",https://westernu.maps.arcgis.com/apps/opsdashboard/index.html#/40904a293aab431696af8021720de5a0,,,,,145,1615,Supercell,C-T/DOD-5 (LB),,N/A,,,26,7,2115,EST,0,unknown,Yes,-91.2069,48.7347
26,934fcbd7-ea27-4215-81ce-80718fed3248,2019,Pembroke,final_classification_completed,final_rating_completed,tornado_over_land,"twitter_eg_ntp_hashtag,facebook_eg_instant_weather",Start of damage track,Ontario,"satellite,ground,drone",ef0,yes,yes,"Witness captured video of a tornado southwest of Pembroke. Reported tree damage was investigated by an NTP ground survey team on July 16, 2019. Damage assessed as EF0, with an estimated max. wind speed of 125 km/h, track length of 1.44 km and max. path width of 210 m. Tornado motion from the NNW (approx. 335 degrees). Satellite imagery review did not reveal a damage path.",https://westernu.maps.arcgis.com/apps/opsdashboard/index.html#/ad2a3288a68a43f3ab51709de6c903aa,,,1.44,210,125,1800,Supercell,FR12/DOD-2 (EXP),,N/A,,335,11,7,2200,EDT,0,,Yes,-77.169,45.7925
27,698b69c4-4ed2-4718-813b-acac2c8ed426,2019,Craighurst,final_classification_completed,final_rating_completed,tornado_over_land,"twitter_eg_ntp_hashtag,facebook_eg_instant_weather",Start of damage track,Ontario,"satellite,ground",ef0,yes,yes,"Witnesses captured video of a funnel cloud aloft with near-surface vortex contact south of Craighurst, prompting an NTP ground survey on July 20, 2019. Isolated area of weak tornado damage to trees was confirmed and assessed as EF0, with an estimated max. wind speed of 90 km/h. Satellite imagery review did not reveal a damage path. Information available insufficient to accurately estimate track length, max. path width and tornado motion. ",,,,,,90,1330,Landspout,C-T/DOD-2 (EXP),,N/A,,,17,7,1730,EDT,0,,No,-79.7399,44.5085
28,f8c49fd7-70cb-44a0-8033-fc303722a3af,2019,McLeod Valley,final_classification_completed,final_rating_completed,tornado_over_land,eccc_eg_forwarded_report,Start of damage track,Alberta,satellite,ef1,,,"Witness reported a tornado east of McLeod Valley that caused structural and tree damage. Satellite imagery review did not reveal any visible damage. Damage reported assessed as EF1, with an estimated max. wind speed of 135 km/h. Information available insufficient to accurately estimate track length, max. path width and tornado motion.",,,,,,135,1230,Landspout,C-SFLF/DOD-2 (EXP),,N/A,,,24,4,1830,MDT,0,,No,-115.9577,53.7259000000001
29,74663c72-de89-424b-8603-c659b6135bdd,2019,Seven Persons,final_classification_completed,final_rating_completed,tornado_over_land,"twitter_eg_ntp_hashtag,facebook_eg_instant_weather",Estimated tornado location,Alberta,satellite,default_ef0,yes,,"Witness reported a tornado over farmland north of Seven Persons and photos of associated vortex-funnel cloud aloft were captured. With no damage reported or visible during satellite imagery review, event assessed as default EF0. Information available insufficient to accurately estimate track length, max. path width and tornado motion.",,,,,,,1230,Landspout,,,N/A,,,14,6,1830,MDT,0,,No,-110.9,49.9300000000001
30,7452f99b-c860-496e-8661-60144bc51e6b,2019,Grimshaw,final_classification_completed,final_rating_completed,non_tornadic_vortex,facebook_eg_instant_weather,Estimated event location,Alberta,,negligible_none,,,Witness captured photos of a vortex-funnel cloud aloft. No evidence of vortex contact with the surface. No damage reported.,,vortex_funnel_cloud_aloft,,,,,1545,,,,N/A,,,23,6,2145,MDT,,,No,-117.609999999996,56.1899999999981
33,f9b3dc52-4147-4797-87ed-60de402cfdad,2019,Letellier,final_classification_completed,final_rating_completed,tornado_over_land,"facebook_eg_instant_weather,eccc_eg_forwarded_report",Estimated tornado location,Manitoba,satellite,default_ef0,,,"Witnesses captured photos of a tornado over farmland southeast of Letellier. With no damage reported or visible during satellite imagery review, event assessed as default EF0. Information available insufficient to accurately estimate track length, max. path width and tornado motion.",,,,,,,1435,Landspout,,,N/A,,,3,5,1935,CDT,0,,No,-97.26,49.107
34,a1b5354a-e725-4524-8c1c-fc95e8257006,2019,Fort Smith,final_classification_completed,final_rating_completed,tornado_over_land,"facebook_eg_instant_weather,media_article_eg_stratford_beac",Start of damage track,Northwest Territories,"satellite,ground,drone",ef1,yes,yes,"Witnesses captured video of a tornado in the Fort Smith area. Structural and tree damage was investigated by an NTP ground survey team on June 4, 2019. Damage assessed as EF1, with an estimated max. wind speed of 155 km/h, track length of 1.66 km and max. path width of 120 m. Tornado motion from the WSW (approx. 240 degrees). Satellite imagery review did not reveal a damage path.",https://westernu.maps.arcgis.com/apps/opsdashboard/index.html#/cf2b2ceca68045b3ac02e7a4e1e497bf,,,1.66,120,155,1600,N/A,FR12/DOD-4 (EXP),0,N/A,,240,2,6,2200,MDT,0,unknown,Yes,-111.8947,60.0018
35,2e02772b-8366-45a6-8c93-76c3086af88f,2019,Dauphin Lake (1),final_classification_completed,final_rating_completed,tornado_over_water,twitter_eg_ntp_hashtag,Estimated tornado location,Manitoba,satellite,default_ef0,,,"Witnesses captured photos and video of two concurrent tornadoes over Dauphin Lake. With no damage reported or visible during satellite imagery review, events assessed as default EF0. Information available insufficient to accurately estimate track length, max. path width and tornado motion.",,,,,,,1923,,,,concurrent_secondary,,,18,7,23,CDT,0,,No,-99.735,51.205
36,7373ee6a-acba-4a55-82af-da5aece79165,2019,Dauphin Lake (2),final_classification_completed,final_rating_completed,tornado_over_water,twitter_eg_ntp_hashtag,Estimated tornado location,Manitoba,satellite,default_ef0,,,"Witnesses captured photos and video of two concurrent tornadoes over Dauphin Lake. With no damage reported or visible during satellite imagery review, events assessed as default EF0. Information available insufficient to accurately estimate track length, max. path width and tornado motion.",,,,,,,1923,,,,concurrent_primary,,,18,7,23,CDT,0,,No,-99.73,51.2
38,1b8e7c94-f4c1-45d2-844b-3076dc7f3df9,2019,Frobisher,final_classification_completed,final_rating_completed,tornado_over_land,"twitter_eg_ntp_hashtag,facebook_eg_instant_weather",Estimated tornado location,Saskatchewan,satellite,default_ef0,yes,,"Witnesses captured photos and video of a tornado over farmland south of Frobisher. With no damage reported or visible during satellite imagery review, event assessed as default EF0. Information available insufficient to accurately estimate track length, max. path width and tornado motion.",,,,,,,1600,Supercell,,,N/A,,,13,7,2200,CST,0,,No,-102.37,49.1000000000001
39,119b83d8-2a7d-436e-8d69-b24d9af46f5b,2019,Rainier,final_classification_completed,,non_tornadic_vortex,twitter_eg_ntp_hashtag,Estimated event location,Alberta,,negligible_none,,,"Witness video of ground circulation with debris cloud near Rainier, AB shared on social media. Video and witness evidence is insufficient to confirm vortex contact with a funnel cloud aloft.",,dust_devil_steam_devil,,,,,1400,,,,N/A,,,15,4,2000,MDT,,,No,-112,50.366
40,6ffc02f5-4bb2-46a2-8e06-73b43ebbfb16,2019,Lathom Lake,final_classification_completed,final_rating_completed,non_tornadic_vortex,"the_weather_network_eg_field_re,eccc_eg_forwarded_report",Estimated event location,Alberta,,negligible_none,,,Witness captured photo of a vortex-funnel cloud aloft near Lathom Lake . No evidence of vortex contact with the surface. No damage reported.,,vortex_funnel_cloud_aloft,,,,,1550,,,,N/A,,,25,4,2150,MDT,,,No,-112.21,50.71
41,7978446a-b388-4412-8673-3259c7df2f24,2019,Brooks,final_classification_completed,final_rating_completed,non_tornadic_vortex,"twitter_eg_ntp_hashtag,the_weather_network_eg_field_re",Estimated event location,Alberta,,negligible_none,,,Witness photo of funnel cloud aloft. No evidence of vortex contact with the surface. No damage reported.,,vortex_funnel_cloud_aloft,,,,,1315,,,,N/A,,,27,4,1915,MDT,,,No,-111.953999999998,50.5949999999992
43,84fdf056-4765-4a4f-8013-4e6713dd4b49,2019,Fox Valley,final_classification_completed,,non_tornadic_vortex,twitter_eg_ntp_hashtag,Estimated event location,Saskatchewan,satellite,negligible_none,,,Witness video of ground circulation with no evidence of vortex connection to cloud base. Satellite imagery review revealed no visible damage.,,dust_devil_steam_devil,,,,,1315,,,,N/A,,,10,5,1915,CST,,,No,-109.491,50.477
44,bb3ab6d7-8cc8-42e4-81fd-d9acb2b7b5bf,2019,Vibank,final_classification_completed,final_rating_completed,non_tornadic_vortex,twitter_eg_ntp_hashtag,Estimated event location,Saskatchewan,,negligible_none,,,Witness captured a photo of vortex-funnel cloud aloft. No evidence of vortex contact with the surface. No damage reported.,,vortex_funnel_cloud_aloft,,,,,1515,,,,N/A,,,15,5,2115,CST,,,No,-103.873999999998,50.3989999999992
45,baa28706-cbcb-42dc-83b2-75c9a897be41,2019,Olds,final_classification_completed,final_rating_completed,non_tornadic_vortex,"twitter_eg_ntp_hashtag,facebook_eg_instant_weather",Estimated event location,Alberta,,negligible_none,,,Witness photos of funnel cloud aloft. No evidence of vortex contact with the surface. No damage reported.,,vortex_funnel_cloud_aloft,,,,,1515,,,,N/A,,,14,6,2115,MDT,,,No,-114.127999999998,51.8319999999992
46,98f767bc-0bca-4a53-8f5f-c4984105b12b,2019,Ste. Anne,final_classification_completed,final_rating_completed,non_tornadic_vortex,"twitter_eg_ntp_hashtag,facebook_eg_instant_weather",Estimated event location,Manitoba,,negligible_none,,,Witnesses captured photos of a vortex-funnel cloud aloft. No evidence of vortex contact with the surface. No damage reported.,,vortex_funnel_cloud_aloft,,,,,1600,,,,N/A,,,24,6,2100,CDT,,,No,-96.7099999999984,49.6799999999992
47,99fdecfc-8b54-4062-80ec-7a04fa494cc3,2019,Vegreville,final_classification_completed,final_rating_completed,non_tornadic_vortex,twitter_eg_ntp_hashtag,Estimated event location,Alberta,,negligible_none,,,Witnesses captured photos of a vortex-funnel cloud aloft. No evidence of vortex contact with the surface. No damage reported.,,vortex_funnel_cloud_aloft,,,,,45,,,,N/A,,,25,6,645,MDT,,,No,-112.129999999998,53.4499999999991
48,d507e8a6-a10c-40a7-8847-fef8a2da9c17,2019,Crane River,final_classification_completed,final_rating_completed,non_tornadic_vortex,facebook_eg_instant_weather,Estimated event location,Manitoba,,negligible_none,,,Witness captured video of a vortex-funnel cloud aloft. No evidence of vortex contact with the surface. No damage reported.,,vortex_funnel_cloud_aloft,,,,,1245,,,,N/A,,,25,6,1745,CDT,,,No,-99.2999999999983,51.4499999999991
49,55b6ba9b-8117-4fb1-8fd2-a1af54b2d1b4,2019,Spruce View,final_classification_completed,final_rating_completed,unclassified_visual_vortex,"twitter_eg_ntp_hashtag,facebook_eg_instant_weather",Estimated event location,Alberta,satellite,negligible_none,,,"Witness captured a photo of a vortex attached to cloud base in the Spruce View area. Nature of vortex contact with the surface is not clear as view was obscured. Satellite imagery review revealed no visible damage and no damage was reported. Based on evidence available, event assessed as an Unclassified Visual Vortex.",,,,,,,1833,,,0,N/A,,,25,6,33,MDT,0,,No,-114.47,51.97
51,8b1df3e1-3a43-4051-851c-1d284211d119,2019,Okotoks,final_classification_completed,final_rating_completed,non_tornadic_vortex,"twitter_eg_ntp_hashtag,facebook_eg_instant_weather",Estimated event location,Alberta,,negligible_none,,,Witnesses captured photos of a vortex-funnel cloud aloft. No evidence of vortex contact with the surface. No damage reported.,,vortex_funnel_cloud_aloft,,,,,1715,,,,N/A,,,27,6,2315,MDT,,,No,-113.989999999998,50.6999999999992
52,ba09249b-89c1-425a-8e1b-bc7b73f073e8,2019,Edmonton,final_classification_completed,final_rating_completed,non_tornadic_vortex,"twitter_eg_ntp_hashtag,facebook_eg_instant_weather",Estimated event location,Alberta,,negligible_none,,,Witness captured a photo of a vortex-funnel cloud aloft. No evidence of vortex contact with the surface. No damage reported.,,vortex_funnel_cloud_aloft,,,,,1335,,,,N/A,,,3,7,1935,MDT,,,No,-113.699999999998,53.6099999999992
